X,Y,F1,Nazwa,Region,miasto,Adres,Y,X,Uwagi,icon_url
20.872629,52.2784670009126,15.000000,City Logistics Warsaw I,Warszawa Strefa I,Warszawa,"Estrady 5, Warszawa",52.278467,20.872629,,./0.png
20.90591,52.2966500009124,16.000000,Norblin Industrial Park,Warszawa Strefa I,Warszawa,Palisadowa 20/22,52.296650,20.905910,,./0.png
20.88664,52.2052700009132,17.000000,Diamond Business Park Ursus,Warszawa Strefa I,Warszawa,Pos¹g 7 Panien 1,52.205270,20.886640,,./0.png
20.86976,52.2081500009132,18.000000,Ursus Logistic Center,Warszawa Strefa I,Warszawa,Gierdziejewskiego 1,52.208150,20.869760,,./0.png
20.85134,52.2028000009132,41.000000,Panattoni Park Konotopa I,Warszawa Strefa II,Jawczyce,"Piastowska 67, 67A",52.202800,20.851340,,./1.png
20.829746,52.2002480009132,42.000000,Panattoni Park Konotopa II,Warszawa Strefa II,Konotopa,Rajdowa 9,52.200248,20.829746,,./1.png
20.842305,52.1990220009132,43.000000,Panattoni Park Konotopa III,Warszawa Strefa II,Piastów,,52.199022,20.842305,,./1.png
20.855124,52.2113530009131,44.000000,City Logistics Warsaw III,Warszawa Strefa II,Jawczyce,ul. Przyparkowa,52.211353,20.855124,,./1.png
20.80168,52.2052700009132,45.000000,"SEGRO Business Park Warsaw, O¿arów",Warszawa Strefa II,Duchnice,O¿arowska 40/42,52.205270,20.801680,,./1.png
20.835402,52.2180640009131,46.000000,7R Park Warsaw West I,Warszawa Strefa II,Bronisze,wierkowa,52.218064,20.835402,,./1.png
20.8366,52.2090000009132,47.000000,O¿arów I Logistics Centre,Warszawa Strefa II,Bronisze,"Piastowska 38, Bronisze",52.209000,20.836600,,./1.png
20.82056,52.2089700009132,48.000000,O¿arów II Logistics Centre,Warszawa Strefa II,O¿arów Mazowiecki,"ul. Radziwi³ów, O¿arów Mazowiecki",52.208970,20.820560,,./1.png
20.77515,52.2097100009132,49.000000,West Park O¿arów,Warszawa Strefa II,O¿arów Mazowiecki,Poznañska 246,52.209710,20.775150,,./1.png
20.76614,52.2032500009132,68.000000,West Park Pruszków,Warszawa Strefa II,O³tarzew,Ceramiczna 7,52.203250,20.766140,,./1.png
20.7662,52.2034500009132,70.000000,"SEGRO Logistics Park Warsaw, Pruszków",Warszawa Strefa II,O³tarzew,Po³udniowa 2,52.203450,20.766200,,./1.png
